18
132011.525  6833717.29  6833784.33  0  1
6833750.81  131928.27  132094.78  1  1
132053.1525  6833717.29  6833784.33  0  1
6833734.05  131928.27  132094.78  1  1
132073.96625  6833717.29  6833784.33  0  1
6833725.67  131928.27  132094.78  1  1
132084.373125  6833717.29  6833750.81  0  1
6833729.86  131928.27  132094.78  1  1
132063.559375  6833717.29  6833750.81  0  1
6833721.48  131928.27  132094.78  1  1
132089.5765625  6833717.29  6833729.86  0  1
6833719.385  132053.1525  132094.78  1  1
132079.1696875  6833717.29  6833729.86  0  1
6833723.575  132053.1525  132094.78  1  1
132076.56796875  6833717.29  6833734.05  0  1
6833724.6225  132063.559375  132089.5765625  1  1
132089.5765625  6833729.86  6833784.33  0  1
6833742.43  131928.27  132094.78  1  1
132081.77140625  6833717.29  6833734.05  0  1
6833722.5275  132063.559375  132089.5765625  1  1
132086.97484375  6833721.48  6833734.05  0  1
132086.97484375  6833721.48  6833734.05  0  1
6833720.4325  132063.559375  132089.5765625  1  1
132083.072265625  6833719.385  6833729.86  0  1
6833724.09875  132073.96625  132086.97484375  1  1
132085.673984375  6833719.385  6833729.86  0  1
6833725.14625  132073.96625  132086.97484375  1  1
132084.373125  6833729.86  6833784.33  0  1
6833767.57  131928.27  132094.78  1  1
132086.97484375  6833725.67  6833750.81  0  1
6833746.62  132011.525  132094.78  1  1
132088.275703125  6833729.86  6833784.33  0  1
6833731.955  132011.525  132094.78  1  1
6833738.24  132011.525  132094.78  1  1
132080.470546875  6833719.385  6833729.86  0  1
6833727.765  132053.1525  132089.5765625  1  1
132068.7628125  6833717.29  6833734.05  0  1
6833720.95625  132063.559375  132081.77140625  1  1
132075.267109375  6833717.29  6833734.05  0  1
6833719.90875  132063.559375  132081.77140625  1  1
